Name,Code,Row #,Country Code,Landmark Category,Location Label,Full Address,Map Centroid Longitude,Map Centroid Latitude,Map Accuracy Catagory,Map Coordinate System Category,Is Boundary Map On File?,Is Subdivision Parent Same as Enclosing Subdivision?,Subdivision Parent Code,Municipality ,Parent of Municipality,Parent Subdivision Category,Capacity,Capacity Metric Category,Year Opened,Ventilation Category,Landmark Notes ,Photo File ,Is Emergency Contact Recorded,
San Lázaro,,,ESP,Stadium,,,,,,,,,,Santiago de Compostela,Galicia,Autonomous Community,"13,500",Spectator Seats,1993,Open Air,,Spain vs Portugal rugby union match in Santiago de Compostela.jpg,,
San Mamés,,,ESP,Stadium,,,,,,,,,,Bilbao,Basque Country,Autonomous Community,"53,289",Spectator Seats,2013,Open Air,,"San Mames, Euskal Herria.jpg",,
Santiago Bernabéu,,,ESP,Stadium,,,,,,,,,,Madrid,Madrid,Autonomous Community,"81,044",Spectator Seats,1947,Open Air,,The Santiago Bernabeu Stadium - U-g-g-B-o-y.jpg,,
Santo Domingo,,,ESP,Stadium,,,,,,,,,,El Ejido,Andalusia,Autonomous Community,"7,870",Spectator Seats,2001,Open Air,,,,
Santo Domingo,,,ESP,Stadium,,,,,,,,,,Alcorcón,Madrid,Autonomous Community,"5,880",Spectator Seats,1971,Open Air,,Alcorcón Ontiyent.jpg,,
Stadium Gal,,,ESP,Stadium,,,,,,,,,,Irun,Basque Country,Autonomous Community,"6,344",Spectator Seats,1926,Open Air,,Grada de tribuna del Stadium Gal.JPG,,
Suárez Puerta,,,ESP,Stadium,,,,,,,,,,Avilés,Asturias,Autonomous Community,"5,352",Spectator Seats,1943,Open Air,,"Avilés, Estadio Román Suárez Puerta.JPG",,
Vallecas,,,ESP,Stadium,,,,,,,,,,Madrid,Madrid,Autonomous Community,"14,708",Spectator Seats,1976,Open Air,,Rayo Vallecano.jpg,,
Vicente Calderón,,,ESP,Stadium,,,,,,,,,,Madrid,Madrid,Autonomous Community,"54,907",Spectator Seats,1966,Open Air,,Vicente-Calderon-1-070910.jpg,,
Vilatenim,,,ESP,Stadium,,,,,,,,,,Figueres,Catalonia,Autonomous Community,"9,472",Spectator Seats,1986,Open Air,,Stadion-ue-figueres.JPG,,
Virgen de las Nieves,,,ESP,Stadium,,,,,,,,,,Santa Cruz de La Palma,Canary Islands,Autonomous Community,"6,000",Spectator Seats,2001,Open Air,,Virgen de Las Nieves de Mirca.JPG,,
,,,,,,,,,,,,,,,,,,,,,,,,
